group_1344	PAGRI_00913	PBONN_01024	PHAYL_01055	PCALE_02543	PFUNG_02465	PMEGA_05499	PPHEM_04003	PPHEX_02753	PPHYM_00796	PPHYT_02970	PSART_01157	PSPRE_00280	PTERA_02676	PTERE_00825	PXENO_03188
tpd	PAGRI_02991	PBONN_01111	PHAYL_02273	PCALE_02151	PFUNG_00375	PMEGA_03934	PPHEM_05987	PPHEX_01163	PPHYM_02010	PPHYT_01394	PSART_00034	PSPRE_01545	PTERA_01106	PTERE_02061	PXENO_00845
priA	PAGRI_04212	PBONN_00262	PHAYL_00274	PCALE_03386	PFUNG_01558	PMEGA_06590	PPHEM_00599	PPHEX_03634	PPHYM_03102	PPHYT_03916	PSART_04176	PSPRE_02661	PTERA_03578	PTERE_03134	PXENO_02230
group_422	PAGRI_03882	PBONN_00144	PHAYL_00175	PCALE_03096	PFUNG_01882	PMEGA_06200	PPHEM_06871	PPHEX_03307	PPHYM_02800	PPHYT_03557	PSART_03940	PSPRE_02964	PTERA_03232	PTERE_02820	PXENO_02602
group_1611	PAGRI_04230	PBONN_00243	PHAYL_00255	PCALE_03406	PFUNG_01540	PMEGA_06609	PPHEM_00580	PPHEX_03652	PPHYM_03121	PPHYT_03934	PSART_04157	PSPRE_02642	PTERA_03596	PTERE_03153	PXENO_02210
btuF	PAGRI_03318	PBONN_02191	PHAYL_01126	PCALE_00806	PFUNG_00730	PMEGA_03658	PPHEM_02922	PPHEX_00824	PPHYM_02268	PPHYT_00990	PSART_02082	PSPRE_01863	PTERA_00740	PTERE_02304	PXENO_01202
group_1043	PAGRI_03857	PBONN_02729	PHAYL_00029	PCALE_03070	PFUNG_01906	PMEGA_06172	PPHEM_06900	PPHEX_03282	PPHYM_02775	PPHYT_03531	PSART_03965	PSPRE_02989	PTERA_03207	PTERE_02795	PXENO_02628
proS	PAGRI_03788	PBONN_02582	PHAYL_02794	PCALE_02999	PFUNG_01982	PMEGA_06102	PPHEM_05922	PPHEX_03214	PPHYM_02707	PPHYT_03462	PSART_00180	PSPRE_03083	PTERA_03138	PTERE_02726	PXENO_02696
odhL	PAGRI_02607	PBONN_01315	PHAYL_02049	PCALE_01938	PFUNG_00006	PMEGA_04203	PPHEM_07750	PPHEX_01408	PPHYM_01763	PPHYT_01637	PSART_03025	PSPRE_01381	PTERA_02199	PTERE_01870	PXENO_00494
atpE	PAGRI_04222	PBONN_00252	PHAYL_00264	PCALE_03397	PFUNG_01548	PMEGA_06600	PPHEM_00589	PPHEX_03644	PPHYM_03112	PPHYT_03926	PSART_04166	PSPRE_02650	PTERA_03588	PTERE_03144	PXENO_02219
group_1971	PAGRI_02213	PBONN_01573	PHAYL_01791	PCALE_01567	PFUNG_03538	PMEGA_04473	PPHEM_05584	PPHEX_01713	PPHYM_01051	PPHYT_01925	PSART_02781	PSPRE_01072	PTERA_01680	PTERE_01628	PXENO_04430
group_1928	PAGRI_01503	PBONN_01250	PHAYL_02113	PCALE_01192	PFUNG_02916	PMEGA_04952	PPHEM_04462	PPHEX_02380	PPHYM_01443	PPHYT_02526	PSART_01712	PSPRE_00657	PTERA_01297	PTERE_01185	PXENO_03775
maf_1	PAGRI_03100	PBONN_03390	PHAYL_03482	PCALE_02335	PFUNG_00484	PMEGA_03807	PPHEM_03546	PPHEX_01053	PPHYM_02129	PPHYT_01287	PSART_01949	PSPRE_01651	PTERA_00991	PTERE_02170	PXENO_00970
cspD_1	PAGRI_00651	PBONN_00138	PHAYL_00163	PCALE_01757	PFUNG_01888	PMEGA_01177	PPHEM_01137	PPHEX_01575	PPHYM_00575	PPHYT_02202	PSART_00400	PSPRE_00020	PTERA_01866	PTERE_00587	PXENO_00289
group_633	PAGRI_00588	PBONN_02369	PHAYL_02449	PCALE_02795	PFUNG_02208	PMEGA_05895	PPHEM_04973	PPHEX_03004	PPHYM_00521	PPHYT_03239	PSART_00420	PSPRE_03301	PTERA_02925	PTERE_00515	PXENO_02914
pyrB_1	PAGRI_03439	PBONN_02256	PHAYL_02343	PCALE_00651	PFUNG_00846	PMEGA_03538	PPHEM_07502	PPHEX_00641	PPHYM_02382	PPHYT_00860	PSART_02293	PSPRE_02012	PTERA_00637	PTERE_02436	PXENO_01490
xerD_1	PAGRI_00599	PBONN_02359	PHAYL_02439	PCALE_02785	PFUNG_02218	PMEGA_05886	PPHEM_04984	PPHEX_02994	PPHYM_00531	PPHYT_03229	PSART_00855	PSPRE_03311	PTERA_02915	PTERE_00526	PXENO_02924
group_1875	PAGRI_00945	PBONN_02161	PHAYL_01153	PCALE_02519	PFUNG_02498	PMEGA_01547	PPHEM_01723	PPHEX_02728	PPHYM_00823	PPHYT_02938	PSART_01190	PSPRE_00311	PTERA_02653	PTERE_00857	PXENO_00292
group_606	PAGRI_00467	PBONN_02496	PHAYL_02701	PCALE_02906	PFUNG_02084	PMEGA_03145	PPHEM_05824	PPHEX_03114	PPHYM_02608	PPHYT_03353	PSART_02629	PSPRE_03179	PTERA_03039	PTERE_02629	PXENO_02798
group_740	PAGRI_01256	PBONN_01087	PHAYL_01125	PCALE_01051	PFUNG_02743	PMEGA_05224	PPHEM_01205	PPHEX_02519	PPHYM_01565	PPHYT_02675	PSART_01541	PSPRE_00521	PTERA_02414	PTERE_01060	PXENO_03613
accC	PAGRI_03772	PBONN_02568	PHAYL_02780	PCALE_02983	PFUNG_01998	PMEGA_06086	PPHEM_05906	PPHEX_03198	PPHYM_02691	PPHYT_03446	PSART_00196	PSPRE_03099	PTERA_03122	PTERE_02710	PXENO_02712
qmcA	PAGRI_01662	PBONN_01744	PHAYL_01570	PCALE_01288	PFUNG_03180	PMEGA_04860	PPHEM_07349	PPHEX_02281	PPHYM_01352	PPHYT_02432	PSART_01804	PSPRE_00751	PTERA_02085	PTERE_01279	PXENO_03870
hemH_1	PAGRI_03623	PBONN_02446	PHAYL_02651	PCALE_00461	PFUNG_00969	PMEGA_03188	PPHEM_05776	PPHEX_00429	PPHYM_02562	PPHYT_00724	PSART_02568	PSPRE_02124	PTERA_00504	PTERE_02581	PXENO_01647
yijE	PAGRI_01258	PBONN_01088	PHAYL_01277	PCALE_01052	PFUNG_02745	PMEGA_05223	PPHEM_01203	PPHEX_02517	PPHYM_01563	PPHYT_02673	PSART_01542	PSPRE_00522	PTERA_02413	PTERE_01062	PXENO_03615
secA	PAGRI_03807	PBONN_00609	PHAYL_00625	PCALE_03018	PFUNG_01403	PMEGA_06121	PPHEM_05941	PPHEX_03232	PPHYM_02725	PPHYT_03480	PSART_00162	PSPRE_03064	PTERA_03157	PTERE_02745	PXENO_02678
group_1156	PAGRI_05371	PBONN_03164	PHAYL_03236	PCALE_05007	PFUNG_06544	PMEGA_00440	PPHEM_03138	PPHEX_05424	PPHYM_03868	PPHYT_05984	PSART_03544	PSPRE_03678	PTERA_05412	PTERE_05336	PXENO_04523
group_642	PAGRI_00602	PBONN_02356	PHAYL_02436	PCALE_02782	PFUNG_02221	PMEGA_05883	PPHEM_04987	PPHEX_02991	PPHYM_00534	PPHYT_03226	PSART_00858	PSPRE_03314	PTERA_02912	PTERE_00529	PXENO_02927
hisP_2	PAGRI_02774	PBONN_02002	PHAYL_02298	PCALE_00890	PFUNG_00165	PMEGA_03709	PPHEM_02827	PPHEX_00926	PPHYM_01831	PPHYT_01111	PSART_02043	PSPRE_01454	PTERA_00822	PTERE_01947	PXENO_00609
def_2	PAGRI_01638	PBONN_01769	PHAYL_01546	PCALE_01265	PFUNG_03156	PMEGA_04884	PPHEM_07326	PPHEX_02305	PPHYM_01375	PPHYT_02456	PSART_01780	PSPRE_00728	PTERA_02109	PTERE_01254	PXENO_03846
group_848	PAGRI_02328	PBONN_01472	PHAYL_01919	PCALE_01454	PFUNG_03359	PMEGA_04346	PPHEM_05704	PPHEX_01823	PPHYM_00939	PPHYT_01792	PSART_02886	PSPRE_01227	PTERA_01512	PTERE_01745	PXENO_00098
group_957	PAGRI_03385	PBONN_02229	PHAYL_01241	PCALE_00742	PFUNG_00796	PMEGA_03602	PPHEM_02982	PPHEX_00702	PPHYM_02324	PPHYT_00910	PSART_02137	PSPRE_01952	PTERA_00676	PTERE_02362	PXENO_01396
group_6215	PAGRI_02624	PBONN_01299	PHAYL_02065	PCALE_01956	PFUNG_00023	PMEGA_04183	PPHEM_07733	PPHEX_01391	PPHYM_01780	PPHYT_01620	PSART_03042	PSPRE_01399	PTERA_02216	PTERE_01887	PXENO_00511
uppP_2	PAGRI_01044	PBONN_01054	PHAYL_01078	PCALE_02417	PFUNG_02595	PMEGA_05196	PPHEM_03853	PPHEX_02628	PPHYM_00922	PPHYT_02838	PSART_01289	PSPRE_00408	PTERA_02553	PTERE_00955	PXENO_03464
yedA	PAGRI_01268	PBONN_01092	PHAYL_02294	PCALE_01062	PFUNG_02755	PMEGA_05214	PPHEM_01193	PPHEX_02507	PPHYM_01558	PPHYT_02663	PSART_01551	PSPRE_00533	PTERA_02405	PTERE_01068	PXENO_03621
ntpA	PAGRI_03742	PBONN_00649	PHAYL_00667	PCALE_00387	PFUNG_01059	PMEGA_06062	PPHEM_04801	PPHEX_00355	PPHYM_00387	PPHYT_00647	PSART_00709	PSPRE_02200	PTERA_00425	PTERE_00379	PXENO_01725
group_266	PAGRI_01115	PBONN_01358	PHAYL_02009	PCALE_02357	PFUNG_02658	PMEGA_05302	PPHEM_03790	PPHEX_02567	PPHYM_01609	PPHYT_02764	PSART_01350	PSPRE_00480	PTERA_02470	PTERE_01016	PXENO_03530
carA	PAGRI_01014	PBONN_02041	PHAYL_02324	PCALE_02449	PFUNG_02567	PMEGA_05352	PPHEM_03888	PPHEX_02662	PPHYM_00892	PPHYT_02869	PSART_01261	PSPRE_00378	PTERA_02583	PTERE_00925	PXENO_03420
group_1222	PAGRI_07807	PBONN_03597	PHAYL_03683	PCALE_05619	PFUNG_05471	PMEGA_00991	PPHEM_00770	PPHEX_04924	PPHYM_04242	PPHYT_07024	PSART_04903	PSPRE_04386	PTERA_04729	PTERE_05952	PXENO_05361
aceE_1	PAGRI_01436	PBONN_01165	PHAYL_02208	PCALE_01124	PFUNG_02846	PMEGA_05022	PPHEM_04528	PPHEX_02448	PPHYM_01510	PPHYT_02592	PSART_01645	PSPRE_00589	PTERA_01228	PTERE_01119	PXENO_03707
group_2069	PAGRI_03581	PBONN_00801	PHAYL_00854	PCALE_00484	PFUNG_00945	PMEGA_03235	PPHEM_05749	PPHEX_00451	PPHYM_02514	PPHYT_00750	PSART_02452	PSPRE_02101	PTERA_00529	PTERE_02532	PXENO_01602
yajC	PAGRI_03651	PBONN_02475	PHAYL_02675	PCALE_00435	PFUNG_00999	PMEGA_03163	PPHEM_05803	PPHEX_00401	PPHYM_02587	PPHYT_00690	PSART_02604	PSPRE_02150	PTERA_00475	PTERE_02608	PXENO_01674
glnG	PAGRI_01422	PBONN_01151	PHAYL_02220	PCALE_01112	PFUNG_02833	PMEGA_05052	PPHEM_04552	PPHEX_02462	PPHYM_01520	PPHYT_02611	PSART_01633	PSPRE_00579	PTERA_01217	PTERE_01106	PXENO_03689
group_1485	PAGRI_02808	PBONN_01410	PHAYL_01480	PCALE_02040	PFUNG_00196	PMEGA_03994	PPHEM_06270	PPHEX_01295	PPHYM_01855	PPHYT_01526	PSART_03148	PSPRE_01481	PTERA_02490	PTERE_01984	PXENO_00630
ftsI	PAGRI_03822	PBONN_00595	PHAYL_00611	PCALE_03035	PFUNG_01947	PMEGA_06136	PPHEM_05956	PPHEX_03247	PPHYM_02740	PPHYT_03495	PSART_00146	PSPRE_03049	PTERA_03172	PTERE_02760	PXENO_02663
bolA	PAGRI_02214	PBONN_01572	PHAYL_01792	PCALE_01566	PFUNG_03537	PMEGA_04472	PPHEM_05585	PPHEX_01714	PPHYM_01050	PPHYT_01924	PSART_02782	PSPRE_01073	PTERA_01679	PTERE_01629	PXENO_04431
rpoZ	PAGRI_00797	PBONN_00931	PHAYL_00955	PCALE_02665	PFUNG_02347	PMEGA_05617	PPHEM_04098	PPHEX_02873	PPHYM_00681	PPHYT_03095	PSART_01039	PSPRE_00173	PTERA_02795	PTERE_00703	PXENO_03074
group_1511	PAGRI_03186	PBONN_03457	PHAYL_03537	PCALE_00934	PFUNG_00548	PMEGA_03753	PPHEM_03641	PPHEX_00995	PPHYM_02178	PPHYT_01204	PSART_02005	PSPRE_01740	PTERA_00924	PTERE_02220	PXENO_01035
group_924	PAGRI_03188	PBONN_03459	PHAYL_03539	PCALE_00932	PFUNG_00550	PMEGA_03751	PPHEM_03644	PPHEX_00993	PPHYM_02180	PPHYT_01201	PSART_02007	PSPRE_01742	PTERA_00922	PTERE_02222	PXENO_01037
group_330	PAGRI_02804	PBONN_01414	PHAYL_01737	PCALE_02036	PFUNG_00192	PMEGA_03998	PPHEM_06274	PPHEX_01299	PPHYM_01851	PPHYT_01530	PSART_03144	PSPRE_01477	PTERA_02486	PTERE_01980	PXENO_00626
gatA	PAGRI_00106	PBONN_00037	PHAYL_00072	PCALE_00084	PFUNG_01372	PMEGA_02705	PPHEM_00445	PPHEX_00064	PPHYM_00057	PPHYT_00316	PSART_04032	PSPRE_02513	PTERA_00073	PTERE_00051	PXENO_02076
group_1174	PAGRI_06108	PBONN_03199	PHAYL_03276	PCALE_04069	PFUNG_04050	PMEGA_00206	PPHEM_02638	PPHEX_05957	PPHYM_03533	PPHYT_05077	PSART_04527	PSPRE_05514	PTERA_06331	PTERE_05005	PXENO_06930
cbl	PAGRI_02344	PBONN_01458	PHAYL_01934	PCALE_01440	PFUNG_03343	PMEGA_04333	PPHEM_07384	PPHEX_01839	PPHYM_01669	PPHYT_01776	PSART_02908	PSPRE_01246	PTERA_01498	PTERE_01766	PXENO_00158
group_611	PAGRI_00480	PBONN_00686	PHAYL_00719	PCALE_02891	PFUNG_02096	PMEGA_06026	PPHEM_04854	PPHEX_03101	PPHYM_00423	PPHYT_03340	PSART_00761	PSPRE_03188	PTERA_03026	PTERE_00417	PXENO_02810
group_143	PAGRI_03777	PBONN_00703	PHAYL_00734	PCALE_02988	PFUNG_01993	PMEGA_06091	PPHEM_05911	PPHEX_03203	PPHYM_02696	PPHYT_03451	PSART_00191	PSPRE_03094	PTERA_03127	PTERE_02715	PXENO_02707
proA	PAGRI_00426	PBONN_02536	PHAYL_02750	PCALE_02942	PFUNG_02043	PMEGA_03108	PPHEM_05860	PPHEX_03152	PPHYM_02645	PPHYT_03394	PSART_02663	PSPRE_03144	PTERA_03075	PTERE_02665	PXENO_02758
aroA/tyrA	PAGRI_00874	PBONN_00985	PHAYL_01015	PCALE_02584	PFUNG_02425	PMEGA_05537	PPHEM_04042	PPHEX_02793	PPHYM_00758	PPHYT_03009	PSART_01117	PSPRE_00241	PTERA_02715	PTERE_00785	PXENO_03148
group_1927	PAGRI_01496	PBONN_01243	PHAYL_02121	PCALE_01185	PFUNG_02909	PMEGA_04959	PPHEM_04469	PPHEX_02389	PPHYM_01450	PPHYT_02533	PSART_01705	PSPRE_00650	PTERA_01288	PTERE_01178	PXENO_03768
suhB	PAGRI_01574	PBONN_01263	PHAYL_02103	PCALE_01199	PFUNG_02978	PMEGA_04945	PPHEM_04262	PPHEX_02373	PPHYM_01436	PPHYT_02518	PSART_01719	PSPRE_00665	PTERA_01304	PTERE_01192	PXENO_03782
cobS	PAGRI_03321	PBONN_02193	PHAYL_01275	PCALE_00804	PFUNG_00733	PMEGA_03656	PPHEM_02924	PPHEX_00822	PPHYM_02270	PPHYT_00988	PSART_02084	PSPRE_01865	PTERA_00737	PTERE_02306	PXENO_01204
group_461	PAGRI_04331	PBONN_02871	PHAYL_03018	PCALE_05643	PFUNG_05504	PMEGA_00968	PPHEM_00745	PPHEX_04902	PPHYM_04217	PPHYT_07052	PSART_04930	PSPRE_04413	PTERA_04702	PTERE_03240	PXENO_05388
group_1278	PAGRI_00378	PBONN_02640	PHAYL_02819	PCALE_00337	PFUNG_01104	PMEGA_03044	PPHEM_04749	PPHEX_00305	PPHYM_00338	PPHYT_00594	PSART_00661	PSPRE_02240	PTERA_00365	PTERE_00329	PXENO_01796
group_1221	PAGRI_07726	PBONN_03580	PHAYL_03645	PCALE_05561	PFUNG_05396	PMEGA_01154	PPHEM_00886	PPHEX_04984	PPHYM_04386	PPHYT_06941	PSART_04799	PSPRE_04330	PTERA_04780	PTERE_05801	PXENO_05306
group_265	PAGRI_01105	PBONN_01347	PHAYL_02017	PCALE_02367	PFUNG_02648	PMEGA_05313	PPHEM_03800	PPHEX_02577	PPHYM_01619	PPHYT_02774	PSART_01341	PSPRE_00471	PTERA_02349	PTERE_01006	PXENO_03519
group_2763	PAGRI_00134	PBONN_00064	PHAYL_00100	PCALE_00112	PFUNG_01344	PMEGA_02734	PPHEM_00413	PPHEX_00092	PPHYM_00085	PPHYT_00344	PSART_04004	PSPRE_02486	PTERA_00101	PTERE_00080	PXENO_02047
dppB	PAGRI_04086	PBONN_00400	PHAYL_00394	PCALE_03287	PFUNG_01676	PMEGA_06435	PPHEM_00719	PPHEX_03503	PPHYM_02991	PPHYT_03782	PSART_04318	PSPRE_02773	PTERA_03429	PTERE_03021	PXENO_02362
pld1	PAGRI_07720	PBONN_03579	PHAYL_03639	PCALE_05558	PFUNG_05390	PMEGA_01160	PPHEM_00892	PPHEX_04987	PPHYM_04380	PPHYT_06935	PSART_04793	PSPRE_04329	PTERA_04786	PTERE_05795	PXENO_05300
group_3816	PAGRI_03643	PBONN_02467	PHAYL_02669	PCALE_00443	PFUNG_00991	PMEGA_03171	PPHEM_05795	PPHEX_00409	PPHYM_02579	PPHYT_00705	PSART_02596	PSPRE_02143	PTERA_00483	PTERE_02600	PXENO_01666
prpD	PAGRI_07684	PBONN_03527	PHAYL_03598	PCALE_05509	PFUNG_05339	PMEGA_01214	PPHEM_00928	PPHEX_05031	PPHYM_04437	PPHYT_06882	PSART_00048	PSPRE_04310	PTERA_04832	PTERE_05752	PXENO_05242
group_523	PAGRI_00151	PBONN_00070	PHAYL_00105	PCALE_00125	PFUNG_01329	PMEGA_02748	PPHEM_00400	PPHEX_00104	PPHYM_00098	PPHYT_00361	PSART_00432	PSPRE_02475	PTERA_00114	PTERE_00098	PXENO_02028
mdtA_1	PAGRI_02753	PBONN_01277	PHAYL_02083	PCALE_01997	PFUNG_00144	PMEGA_04078	PPHEM_07659	PPHEX_01334	PPHYM_01813	PPHYT_01573	PSART_03102	PSPRE_01438	PTERA_02314	PTERE_01922	PXENO_00591
group_1401	PAGRI_01499	PBONN_01246	PHAYL_02118	PCALE_01188	PFUNG_02912	PMEGA_04956	PPHEM_04466	PPHEX_02385	PPHYM_01447	PPHYT_02530	PSART_01708	PSPRE_00653	PTERA_01291	PTERE_01181	PXENO_03771
group_530	PAGRI_00173	PBONN_00090	PHAYL_00122	PCALE_00147	PFUNG_01308	PMEGA_02773	PPHEM_00376	PPHEX_00118	PPHYM_00115	PPHYT_00385	PSART_00457	PSPRE_02455	PTERA_00128	PTERE_00120	PXENO_02005
ybaK_1	PAGRI_00225	PBONN_00167	PHAYL_00201	PCALE_00189	PFUNG_01255	PMEGA_02884	PPHEM_00278	PPHEX_00162	PPHYM_00166	PPHYT_00429	PSART_00524	PSPRE_02383	PTERA_00214	PTERE_00179	PXENO_01954
group_761	PAGRI_01481	PBONN_01228	PHAYL_02140	PCALE_01170	PFUNG_02894	PMEGA_04974	PPHEM_04484	PPHEX_02404	PPHYM_01465	PPHYT_02548	PSART_01690	PSPRE_00635	PTERA_01273	PTERE_01163	PXENO_03752
group_1016	PAGRI_03735	PBONN_00655	PHAYL_00674	PCALE_00394	PFUNG_01052	PMEGA_06056	PPHEM_04807	PPHEX_00361	PPHYM_00393	PPHYT_00653	PSART_00715	PSPRE_02194	PTERA_00431	PTERE_00385	PXENO_01718
rplL	PAGRI_04000	PBONN_00464	PHAYL_00478	PCALE_03213	PFUNG_01764	PMEGA_06328	PPHEM_07058	PPHEX_03429	PPHYM_02917	PPHYT_03677	PSART_00018	PSPRE_02850	PTERA_03347	PTERE_02941	PXENO_02482
group_168	PAGRI_00128	PBONN_00058	PHAYL_00094	PCALE_00106	PFUNG_01350	PMEGA_02727	PPHEM_00421	PPHEX_00087	PPHYM_00079	PPHYT_00338	PSART_04010	PSPRE_02492	PTERA_00095	PTERE_00073	PXENO_02054
IMPDH_1	PAGRI_01109	PBONN_01351	PHAYL_02015	PCALE_02363	PFUNG_02652	PMEGA_05307	PPHEM_03796	PPHEX_02573	PPHYM_01615	PPHYT_02770	PSART_01345	PSPRE_00475	PTERA_02345	PTERE_01010	PXENO_03524
murB	PAGRI_00604	PBONN_02354	PHAYL_02434	PCALE_02780	PFUNG_02223	PMEGA_05881	PPHEM_04989	PPHEX_02989	PPHYM_00536	PPHYT_03224	PSART_00860	PSPRE_03316	PTERA_02910	PTERE_00531	PXENO_02929
rplQ	PAGRI_03964	PBONN_00497	PHAYL_00512	PCALE_03177	PFUNG_01799	PMEGA_06293	PPHEM_07024	PPHEX_03391	PPHYM_02881	PPHYT_03641	PSART_03869	PSPRE_02886	PTERA_03312	PTERE_02905	PXENO_02518
cls_1	PAGRI_01627	PBONN_01779	PHAYL_01537	PCALE_01254	PFUNG_03145	PMEGA_04894	PPHEM_07315	PPHEX_02315	PPHYM_01386	PPHYT_02467	PSART_01769	PSPRE_00718	PTERA_02119	PTERE_01242	PXENO_03835
group_896	PAGRI_03030	PBONN_03331	PHAYL_03420	PCALE_02265	PFUNG_00414	PMEGA_03894	PPHEM_03478	PPHEX_01122	PPHYM_02050	PPHYT_01355	PSART_01878	PSPRE_01582	PTERA_01060	PTERE_02102	PXENO_00896
group_2025	PAGRI_03080	PBONN_03371	PHAYL_03459	PCALE_02315	PFUNG_00464	PMEGA_03844	PPHEM_03526	PPHEX_01072	PPHYM_02110	PPHYT_01306	PSART_01928	PSPRE_01632	PTERA_01011	PTERE_02150	PXENO_00951
group_797	PAGRI_01845	PBONN_01628	PHAYL_01716	PCALE_01810	PFUNG_03301	PMEGA_04748	PPHEM_06490	PPHEX_01524	PPHYM_01282	PPHYT_02273	PSART_00372	PSPRE_00819	PTERA_01922	PTERE_01356	PXENO_04148
hemL	PAGRI_00769	PBONN_00894	PHAYL_02535	PCALE_02675	PFUNG_02333	PMEGA_05682	PPHEM_04164	PPHEX_02884	PPHYM_00631	PPHYT_03110	PSART_00997	PSPRE_00104	PTERA_02806	PTERE_00648	PXENO_03063
nuoL	PAGRI_03038	PBONN_03337	PHAYL_03425	PCALE_02273	PFUNG_00422	PMEGA_03888	PPHEM_03484	PPHEX_01114	PPHYM_02056	PPHYT_01347	PSART_01884	PSPRE_01590	PTERA_01053	PTERE_02108	PXENO_00908
group_983	PAGRI_03615	PBONN_02437	PHAYL_02640	PCALE_00470	PFUNG_00961	PMEGA_03197	PPHEM_05768	PPHEX_00438	PPHYM_02553	PPHYT_00733	PSART_02559	PSPRE_02116	PTERA_00513	PTERE_02572	PXENO_01637
nusA	PAGRI_02618	PBONN_01304	PHAYL_02060	PCALE_01950	PFUNG_00017	PMEGA_04189	PPHEM_07739	PPHEX_01397	PPHYM_01774	PPHYT_01626	PSART_03036	PSPRE_01393	PTERA_02210	PTERE_01881	PXENO_00505
group_1022	PAGRI_03768	PBONN_02564	PHAYL_02776	PCALE_02979	PFUNG_02002	PMEGA_06082	PPHEM_05902	PPHEX_03194	PPHYM_02687	PPHYT_03442	PSART_00200	PSPRE_03103	PTERA_03118	PTERE_02706	PXENO_02716
group_336	PAGRI_02990	PBONN_01112	PHAYL_02272	PCALE_02150	PFUNG_00374	PMEGA_03935	PPHEM_05988	PPHEX_01164	PPHYM_02009	PPHYT_01395	PSART_00033	PSPRE_01544	PTERA_01107	PTERE_02060	PXENO_00844
group_1451	PAGRI_02329	PBONN_01471	PHAYL_01920	PCALE_01453	PFUNG_03358	PMEGA_04345	PPHEM_05705	PPHEX_01824	PPHYM_00938	PPHYT_01791	PSART_02887	PSPRE_01228	PTERA_01511	PTERE_01746	PXENO_00099
atpC	PAGRI_04216	PBONN_00258	PHAYL_00270	PCALE_03391	PFUNG_01554	PMEGA_06594	PPHEM_00595	PPHEX_03638	PPHYM_03106	PPHYT_03920	PSART_04172	PSPRE_02656	PTERA_03582	PTERE_03138	PXENO_02225
group_535	PAGRI_00210	PBONN_00154	PHAYL_00183	PCALE_00173	PFUNG_01271	PMEGA_02869	PPHEM_00293	PPHEX_00146	PPHYM_00150	PPHYT_00413	PSART_00509	PSPRE_02398	PTERA_00198	PTERE_00163	PXENO_01969
group_289	PAGRI_01650	PBONN_01756	PHAYL_01558	PCALE_01276	PFUNG_03168	PMEGA_04872	PPHEM_07337	PPHEX_02293	PPHYM_01364	PPHYT_02444	PSART_01792	PSPRE_00739	PTERA_02097	PTERE_01266	PXENO_03858
bepA_2	PAGRI_00362	PBONN_02656	PHAYL_02836	PCALE_00321	PFUNG_01120	PMEGA_03028	PPHEM_04733	PPHEX_00289	PPHYM_00322	PPHYT_00578	PSART_00645	PSPRE_02256	PTERA_00349	PTERE_00313	PXENO_01812
rpsE	PAGRI_03974	PBONN_00490	PHAYL_00504	PCALE_03187	PFUNG_01790	PMEGA_06302	PPHEM_07015	PPHEX_03401	PPHYM_02891	PPHYT_03651	PSART_03859	PSPRE_02876	PTERA_03321	PTERE_02915	PXENO_02508
group_904	PAGRI_03079	PBONN_03370	PHAYL_03458	PCALE_02314	PFUNG_00463	PMEGA_03845	PPHEM_03525	PPHEX_01073	PPHYM_02109	PPHYT_01307	PSART_01927	PSPRE_01631	PTERA_01012	PTERE_02149	PXENO_00950
group_303	PAGRI_02239	PBONN_01547	PHAYL_01826	PCALE_01543	PFUNG_03469	PMEGA_04429	PPHEM_05609	PPHEX_01737	PPHYM_01029	PPHYT_01883	PSART_02802	PSPRE_01145	PTERA_01599	PTERE_01651	PXENO_00007
group_459	PAGRI_04322	PBONN_02850	PHAYL_02992	PCALE_05635	PFUNG_05490	PMEGA_00976	PPHEM_00754	PPHEX_04910	PPHYM_04228	PPHYT_07043	PSART_04920	PSPRE_04403	PTERA_04711	PTERE_03229	PXENO_05380
flgC	PAGRI_04127	PBONN_00338	PHAYL_00357	PCALE_03326	PFUNG_01636	PMEGA_06484	PPHEM_00679	PPHEX_03541	PPHYM_03028	PPHYT_03822	PSART_04272	PSPRE_02737	PTERA_03472	PTERE_03063	PXENO_02321
miaA	PAGRI_03608	PBONN_02430	PHAYL_02633	PCALE_00477	PFUNG_00954	PMEGA_03204	PPHEM_05761	PPHEX_00445	PPHYM_02546	PPHYT_00740	PSART_02552	PSPRE_02109	PTERA_00520	PTERE_02565	PXENO_01617
tolB	PAGRI_03580	PBONN_00802	PHAYL_00855	PCALE_00485	PFUNG_00944	PMEGA_03236	PPHEM_05748	PPHEX_00452	PPHYM_02513	PPHYT_00751	PSART_02451	PSPRE_02100	PTERA_00530	PTERE_02531	PXENO_01601
group_260	PAGRI_01055	PBONN_01057	PHAYL_01094	PCALE_02410	PFUNG_02602	PMEGA_05190	PPHEM_03846	PPHEX_02621	PPHYM_00926	PPHYT_02830	PSART_01295	PSPRE_00412	PTERA_02546	PTERE_00962	PXENO_03471
dxr	PAGRI_01649	PBONN_01757	PHAYL_01557	PCALE_01275	PFUNG_03167	PMEGA_04873	PPHEM_07336	PPHEX_02294	PPHYM_01365	PPHYT_02445	PSART_01791	PSPRE_00738	PTERA_02098	PTERE_01265	PXENO_03857
group_183	PAGRI_00267	PBONN_02787	PHAYL_02932	PCALE_00236	PFUNG_01215	PMEGA_02925	PPHEM_00236	PPHEX_00204	PPHYM_00209	PPHYT_00481	PSART_00565	PSPRE_02342	PTERA_00256	PTERE_00221	PXENO_01908
